,price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize,cluster
179,8899,49470,1,2,2016,0,0,74.3,1.5,2
180,11127,22292,1,1,2016,1,145,47.9,1.6,0
181,13799,14082,1,2,2018,1,145,57.7,1.0,0
182,10185,53717,0,2,2016,0,30,64.2,2.0,3
183,16051,11035,1,2,2017,1,145,41.5,2.0,0
184,10210,21018,1,2,2016,0,0,74.3,1.5,0
185,5299,69000,1,2,2012,1,145,47.9,1.6,3
186,5499,59000,1,2,2012,1,145,47.9,1.6,3
187,3899,126000,1,2,2012,0,125,56.5,2.0,1
188,7699,34263,1,1,2015,0,0,88.3,1.5,2
189,11128,25595,1,1,2017,1,145,47.9,1.6,2
190,10799,30555,1,1,2018,0,145,58.9,1.5,2
191,8825,21297,1,1,2016,1,20,62.8,1.0,0
192,7175,40003,1,1,2016,1,20,62.8,1.0,2
193,6800,22421,1,1,2016,0,0,78.5,1.5,0
194,18498,5532,1,2,2019,1,145,48.7,1.0,0
195,6499,71500,1,2,2015,1,20,61.4,1.0,3
196,17999,95,0,2,2019,1,145,48.7,1.0,0
197,13999,16908,1,0,2018,1,150,54.3,1.0,0
198,10499,25000,1,1,2017,1,150,65.7,1.0,2
199,15999,15000,1,2,2019,1,145,60.1,1.0,0
200,16799,4660,1,2,2019,1,145,60.1,1.0,0
201,6999,34772,1,1,2015,1,125,54.3,1.2,2
202,10999,8146,1,1,2017,1,145,65.7,1.0,0
203,15999,8340,1,2,2019,1,145,60.1,1.0,0
204,14999,6177,1,2,2019,1,145,58.9,1.0,0
205,16998,4152,1,2,2019,1,145,60.1,1.0,0
206,14499,10050,1,2,2019,1,145,60.1,1.0,0
207,14998,10464,1,2,2019,1,145,58.9,1.0,0
208,11999,20007,0,1,2017,1,0,57.7,1.0,0
209,28998,2985,1,2,2020,1,145,34.5,2.3,0
210,9999,18916,1,1,2017,1,145,65.7,1.0,0
211,10499,31803,1,1,2017,1,145,65.7,1.0,2
212,7999,30900,1,1,2016,1,0,65.7,1.0,2
213,13399,9829,1,1,2019,0,150,58.9,1.5,0
214,9699,17330,1,1,2016,1,0,65.7,1.0,0
215,17499,5700,0,2,2019,0,145,50.4,1.5,0
216,18200,804,1,2,2019,1,145,48.7,1.0,0
217,10414,23998,1,1,2016,1,20,62.8,1.0,0
218,12999,17303,0,2,2017,1,125,51.4,1.0,0
219,18681,17515,1,2,2018,1,145,41.5,2.0,0
220,13249,8727,0,2,2017,1,125,51.4,1.0,0
221,12999,15608,1,0,2018,1,150,54.3,1.0,0
222,8999,29127,1,1,2017,1,150,65.7,1.0,2
223,9999,12000,1,1,2018,1,150,64.2,1.1,0
224,6999,62000,0,1,2013,1,0,57.7,1.0,3
225,5999,61686,1,1,2014,1,0,65.7,1.0,3
226,8499,12412,1,1,2017,1,145,65.7,1.0,0
227,9999,13759,1,0,2017,1,145,52.3,1.0,0
228,10999,34844,1,1,2017,1,145,47.9,1.6,2
229,9933,16186,0,2,2015,1,165,44.8,1.6,0
230,3999,127544,1,2,2011,1,150,47.9,1.6,1
231,8444,42787,1,1,2017,1,150,65.7,1.0,2
232,11211,22766,1,2,2017,1,20,60.1,1.0,0
233,10483,25000,1,2,2017,0,150,74.3,1.5,2
234,10999,45709,0,2,2017,1,150,46.3,1.5,2
235,17999,12014,1,2,2019,1,150,60.1,1.0,0
236,5999,18233,1,1,2011,1,200,42.8,1.2,0
237,7999,28907,1,1,2017,1,125,54.3,1.2,2
238,13583,21718,1,2,2015,0,20,67.3,2.0,0
239,11499,21023,1,2,2018,1,145,60.1,1.0,0
240,15999,999,0,0,2019,1,145,45.6,1.0,0
241,4699,39620,1,1,2012,1,125,50.4,1.2,2
242,16999,10678,1,0,2019,1,150,52.3,1.0,0
243,14299,2698,1,1,2019,1,150,58.9,1.0,0
244,16499,3205,0,0,2019,1,145,45.6,1.0,0
245,9299,20966,0,1,2015,1,0,57.7,1.0,0
246,17499,15,1,0,2020,1,150,53.3,1.0,0
247,14299,4216,1,1,2019,1,150,58.9,1.0,0
248,14499,9033,1,1,2019,1,150,55.4,1.0,0
249,20499,3572,1,2,2019,0,145,70.6,2.0,0
250,5299,78767,1,2,2014,1,150,47.9,1.6,1
251,9499,30825,1,2,2017,1,150,61.4,1.0,2
252,16498,5826,1,2,2019,1,145,60.1,1.0,0
253,17499,8140,1,2,2019,1,150,60.1,1.0,0
254,10999,42632,1,2,2017,0,150,74.3,1.5,2
255,7999,51976,1,2,2016,1,20,61.4,1.0,3
256,15999,8706,1,2,2019,0,150,80.7,1.5,0
257,3699,60466,1,2,2010,0,160,51.4,2.0,3
258,7599,31141,1,0,2015,1,125,52.3,1.0,2
259,6395,89770,1,2,2015,0,20,67.3,1.6,1
260,9495,29000,1,0,2017,0,150,44.8,1.5,2
261,11299,23624,1,2,2017,0,0,74.3,1.5,0
262,14999,9772,1,1,2019,1,145,58.9,1.0,0
263,10499,26759,0,0,2016,1,160,44.8,1.5,2
264,14499,9023,1,1,2019,1,145,60.1,1.0,0
265,11999,26898,1,2,2018,1,145,57.7,1.0,2
266,9999,17453,1,0,2017,1,125,53.3,1.0,0
267,8999,33460,1,2,2017,1,20,60.1,1.0,2
268,9999,19249,0,1,2017,1,145,47.9,1.6,0
269,15499,3765,1,1,2019,1,145,55.4,1.0,0
270,14299,9804,1,1,2018,1,145,65.7,1.0,0
271,9299,16218,1,1,2016,0,0,88.3,1.5,0
272,14499,4266,1,1,2019,1,145,58.9,1.0,0
273,10499,13625,1,1,2017,1,0,65.7,1.0,0
274,4699,67226,1,2,2012,1,30,56.5,1.0,3
275,15124,17354,1,2,2019,0,145,74.3,1.5,0
276,12495,18894,1,1,2018,1,145,62.8,1.0,0
277,8995,13759,1,1,2017,1,145,54.3,1.2,0
278,23999,5834,1,2,2019,0,145,50.4,2.0,0
279,10999,11264,1,1,2016,1,20,62.8,1.0,0
280,17998,10222,1,2,2019,0,145,74.3,1.5,0
281,18699,4267,0,2,2019,1,145,51.4,1.0,0
282,16499,4340,0,0,2019,1,145,45.6,1.0,0
283,14999,13994,1,0,2019,1,145,53.3,1.0,0
284,10299,8161,1,1,2015,1,0,65.7,1.0,0
285,6500,43181,1,1,2013,1,0,65.7,1.0,2
286,8500,37695,1,2,2016,0,0,74.3,1.5,2
287,5799,45787,1,1,2013,1,30,54.3,1.2,2
288,8299,45500,1,1,2015,0,0,78.5,1.5,2
289,10000,19498,1,2,2015,0,0,74.3,1.5,0
290,8000,63958,1,1,2014,1,145,47.9,1.6,3
291,6495,41896,1,1,2015,1,125,54.3,1.2,2
292,7995,26220,0,1,2015,1,0,57.7,1.0,2
293,8211,46282,1,2,2017,1,20,61.4,1.0,2
294,8999,9467,1,1,2015,1,0,65.7,1.0,0
295,10587,50526,1,2,2017,0,0,74.3,1.5,2
296,5999,42012,1,1,2014,1,0,65.7,1.0,2
297,4499,72279,1,2,2012,1,145,47.9,1.6,3
298,14598,10555,1,1,2019,1,145,55.4,1.0,0
299,15999,8910,0,1,2019,1,145,48.7,1.0,0
300,13499,30555,1,2,2015,0,20,67.3,2.0,2
301,8399,65929,1,1,2014,1,145,47.9,1.6,3
302,8749,56109,1,1,2015,1,145,47.9,1.6,3
303,14199,13883,1,2,2018,1,145,58.9,1.0,0
304,6561,39381,1,1,2014,1,0,65.7,1.0,2
305,9078,16813,0,1,2017,1,0,57.7,1.0,0
306,4490,52762,1,1,2012,1,150,48.7,1.4,3
307,6490,64384,1,1,2016,0,0,78.5,1.5,3
308,12495,8629,0,1,2017,1,145,54.3,1.0,0
309,10600,29358,1,1,2017,1,0,65.7,1.0,2
310,15699,9004,1,2,2019,1,145,60.1,1.0,0
311,15999,4857,1,2,2019,1,145,60.1,1.0,0
312,17999,2000,1,0,2019,1,145,51.4,1.0,0
313,9599,23319,1,0,2017,0,30,64.2,1.5,0
314,8000,66210,1,1,2017,0,145,88.3,1.5,3
315,6000,49450,1,1,2015,0,0,76.4,1.5,2
316,7000,76890,1,2,2015,0,0,74.3,1.5,1
317,4500,97930,1,2,2013,1,145,47.9,1.6,1
318,9600,16505,1,0,2016,1,125,53.3,1.0,0
319,14800,35712,1,2,2014,1,235,39.2,2.0,2
320,10999,13660,0,1,2017,1,145,47.9,1.6,0
321,8999,18086,1,2,2016,1,20,60.1,1.0,0
322,16300,15825,1,2,2019,1,150,60.1,1.0,0
323,7695,32290,1,1,2016,1,0,65.7,1.0,2
324,6000,31124,1,1,2014,1,30,54.3,1.2,2
325,10299,17852,1,1,2017,1,145,62.8,1.0,0
326,6299,90378,1,2,2016,0,0,74.3,1.5,1
327,5500,67375,1,1,2015,0,0,78.5,1.5,3
328,5299,64231,1,1,2013,1,0,65.7,1.0,3
329,8700,42026,1,0,2016,1,125,53.3,1.0,2
330,15500,14766,1,0,2018,0,150,64.2,1.5,0
331,11768,15375,1,2,2017,1,145,57.7,1.0,0
332,11799,28333,1,2,2017,1,145,60.1,1.0,2
333,16499,32253,1,2,2017,0,145,67.3,2.0,2
334,7999,15107,1,1,2015,1,0,65.7,1.0,0
335,13000,10834,1,2,2018,1,145,57.7,1.0,0
336,7500,29845,1,1,2013,1,0,65.7,1.0,2
337,8200,20387,1,1,2016,1,0,65.7,1.0,0
338,7500,31994,1,1,2015,0,0,76.4,1.5,2
339,11300,13550,1,1,2017,1,145,65.7,1.0,0
340,12798,8000,1,1,2019,0,150,88.3,1.5,0
341,16998,1088,0,0,2019,1,145,45.6,1.0,0
342,18999,20,0,0,2019,1,150,45.6,1.0,0
343,8999,12052,1,1,2017,1,150,54.3,1.2,0
344,5999,41886,1,1,2015,1,30,54.3,1.2,2
345,13998,5674,0,1,2019,1,150,48.7,1.0,0
346,6299,28543,1,1,2014,1,30,54.3,1.2,2
347,10200,30737,1,1,2018,1,145,65.7,1.0,2
348,13200,18331,1,1,2019,1,145,60.1,1.0,0
349,7200,39315,1,1,2013,0,0,78.5,1.6,2
350,8800,30612,1,1,2016,1,0,65.7,1.0,2
351,6999,29624,1,2,2013,0,20,67.3,1.6,2
352,9700,30284,1,1,2018,1,145,64.2,1.1,2
353,11300,14577,1,1,2017,1,145,65.7,1.0,0
354,12000,14620,1,1,2019,1,145,60.1,1.0,0
355,10100,38902,1,1,2018,1,145,56.5,1.0,2
356,10800,29783,1,1,2018,1,145,56.5,1.0,2
357,10500,11518,1,0,2017,1,145,52.3,1.0,0
358,9400,48153,1,2,2015,0,0,74.3,1.5,2
359,9500,33496,1,2,2015,0,0,74.3,1.5,2
360,8299,16060,1,1,2016,0,0,78.5,1.5,0
361,6499,41048,1,2,2013,1,20,58.9,1.0,2
362,9299,18518,1,0,2017,1,160,44.8,1.5,0
363,16998,2121,1,0,2019,1,145,51.4,1.0,0
364,12799,21718,1,1,2018,1,145,62.8,1.0,0
365,6499,25797,1,1,2012,1,145,48.7,1.6,2
366,16998,5568,1,2,2019,1,145,60.1,1.0,0
367,14998,6564,1,2,2019,1,145,58.9,1.0,0
368,13998,7126,1,1,2019,1,145,62.8,1.0,0
369,12498,12831,1,1,2019,1,145,65.7,1.0,0
370,7299,45310,1,2,2014,1,20,60.1,1.0,2
371,7499,4189,1,1,2016,1,125,54.3,1.2,0
372,10999,20254,1,2,2018,1,145,60.1,1.0,0
373,14999,23624,0,1,2018,1,145,54.3,1.0,0
374,9699,9936,1,1,2017,1,145,65.7,1.0,0
375,9299,39904,1,2,2017,1,20,61.4,1.0,2
376,17299,861,0,0,2019,1,145,45.6,1.0,0
377,14999,1519,0,1,2019,1,150,48.7,1.0,0
378,8999,9181,1,1,2015,1,0,65.7,1.0,0
379,8499,46301,1,2,2015,0,0,74.3,1.5,2
380,12999,9921,1,1,2019,1,145,58.9,1.0,0
381,14799,442,1,1,2019,1,150,56.5,1.0,0
382,13799,7463,1,0,2019,1,145,53.3,1.0,0
383,12399,18227,1,2,2018,0,145,80.7,1.5,0
